,POPULARITY,BUCKET,TOTAL_SELL,LIKE_,REVIEW,PRICE,FIRST_PAGE
36770,2.0,5.0,5.0,5.0,6.0,4.0,0
36774,1.0,1.0,4.0,0.0,6.0,2.0,0
36776,1.0,1.0,1.0,0.0,0.0,1.0,0
36777,3.0,3.0,4.0,3.0,6.0,2.0,0
36778,2.0,1.0,3.0,1.0,5.0,2.0,0
36779,2.0,2.0,4.0,2.0,0.0,1.0,0
36780,0.0,1.0,5.0,0.0,5.0,2.0,0
36784,3.0,2.0,4.0,1.0,6.0,2.0,0
36787,3.0,1.0,2.0,1.0,5.0,3.0,0
36788,3.0,4.0,4.0,4.0,0.0,3.0,0
36791,3.0,2.0,2.0,2.0,0.0,4.0,0
36793,2.0,3.0,1.0,3.0,3.0,4.0,0
36798,0.0,1.0,1.0,0.0,4.0,2.0,0
36799,1.0,4.0,5.0,4.0,5.0,3.0,0
36800,1.0,2.0,3.0,1.0,3.0,4.0,0
36802,0.0,2.0,1.0,3.0,0.0,4.0,0
36804,1.0,1.0,1.0,0.0,7.0,1.0,0
36805,2.0,1.0,1.0,0.0,4.0,4.0,0
36806,7.0,6.0,6.0,6.0,7.0,3.0,0
36808,1.0,1.0,2.0,1.0,5.0,2.0,0
36809,1.0,1.0,5.0,1.0,4.0,1.0,0
36812,2.0,1.0,4.0,1.0,3.0,1.0,0
36813,1.0,1.0,2.0,0.0,0.0,1.0,0
36814,0.0,1.0,1.0,1.0,0.0,3.0,0
36816,1.0,3.0,6.0,3.0,5.0,1.0,0
36818,3.0,1.0,1.0,0.0,0.0,2.0,0
36819,3.0,4.0,5.0,4.0,5.0,3.0,0
36820,1.0,3.0,1.0,4.0,4.0,3.0,0
36822,3.0,3.0,2.0,3.0,4.0,4.0,0
36826,2.0,3.0,5.0,3.0,6.0,4.0,0
36827,1.0,1.0,2.0,1.0,3.0,1.0,0
36828,4.0,5.0,5.0,5.0,7.0,5.0,0
36829,2.0,5.0,5.0,5.0,4.0,2.0,0
36830,1.0,2.0,1.0,2.0,4.0,2.0,0
36831,2.0,5.0,5.0,5.0,5.0,4.0,0
36833,3.0,3.0,4.0,4.0,3.0,4.0,0
36835,2.0,2.0,3.0,2.0,3.0,4.0,0
36841,2.0,1.0,1.0,0.0,3.0,2.0,0
36843,4.0,4.0,4.0,4.0,7.0,3.0,0
36844,2.0,4.0,3.0,5.0,7.0,2.0,0
36848,3.0,1.0,4.0,1.0,4.0,1.0,0
36849,3.0,3.0,5.0,3.0,5.0,6.0,0
36851,3.0,1.0,3.0,1.0,6.0,4.0,0
36852,1.0,1.0,3.0,0.0,5.0,1.0,0
36853,2.0,1.0,2.0,0.0,0.0,1.0,0
36858,1.0,1.0,1.0,1.0,4.0,4.0,0
